Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1980-12-12,28.75,28.87,28.75,28.75,2093900.0,0.0,1.0,0.442975475437,0.444824416552,0.442975475437,0.442975475437,117258400.0
1980-12-15,27.38,27.38,27.25,27.25,785200.0,0.0,1.0,0.421866731042,0.421866731042,0.419863711501,0.419863711501,43971200.0
1980-12-16,25.37,25.37,25.25,25.25,472000.0,0.0,1.0,0.390896967368,0.390896967368,0.389048026253,0.389048026253,26432000.0
1980-12-17,25.87,26.0,25.87,25.87,385900.0,0.0,1.0,0.39860088868,0.400603908221,0.39860088868,0.39860088868,21610400.s0
